"","WeekNumber","Year","Deaths","WeekEnding","Gender"
"1",1,2013,1201,2013-01-07,"All"
"2",2,2013,1425,2013-01-14,"All"
"3",3,2013,1265,2013-01-21,"All"
"4",4,2013,1212,2013-01-28,"All"
"5",5,2013,1282,2013-02-04,"All"
"6",6,2013,1194,2013-02-11,"All"
"7",7,2013,1113,2013-02-18,"All"
"8",8,2013,1228,2013-02-25,"All"
"9",9,2013,1108,2013-03-04,"All"
"10",10,2013,1131,2013-03-11,"All"
"11",11,2013,1120,2013-03-18,"All"
"12",12,2013,1118,2013-03-25,"All"
"13",13,2013,1028,2013-04-01,"All"
"14",14,2013,1227,2013-04-08,"All"
"15",15,2013,1176,2013-04-15,"All"
"16",16,2013,1139,2013-04-22,"All"
"17",17,2013,1158,2013-04-29,"All"
"18",18,2013,1095,2013-05-06,"All"
"19",19,2013,1012,2013-05-13,"All"
"20",20,2013,1075,2013-05-20,"All"
"21",21,2013,993,2013-05-27,"All"
"22",22,2013,954,2013-06-03,"All"
"23",23,2013,983,2013-06-10,"All"
"24",24,2013,941,2013-06-17,"All"
"25",25,2013,1010,2013-06-24,"All"
"26",26,2013,972,2013-07-01,"All"
"27",27,2013,952,2013-07-08,"All"
"28",28,2013,944,2013-07-15,"All"
"29",29,2013,874,2013-07-22,"All"
"30",30,2013,936,2013-07-29,"All"
"31",31,2013,903,2013-08-05,"All"
"32",32,2013,900,2013-08-12,"All"
"33",33,2013,923,2013-08-19,"All"
"34",34,2013,878,2013-08-26,"All"
"35",35,2013,940,2013-09-02,"All"
"36",36,2013,951,2013-09-09,"All"
"37",37,2013,916,2013-09-16,"All"
"38",38,2013,971,2013-09-23,"All"
"39",39,2013,928,2013-09-30,"All"
"40",40,2013,1040,2013-10-07,"All"
"41",41,2013,918,2013-10-14,"All"
"42",42,2013,995,2013-10-21,"All"
"43",43,2013,1047,2013-10-28,"All"
"44",44,2013,1008,2013-11-04,"All"
"45",45,2013,1049,2013-11-11,"All"
"46",46,2013,1016,2013-11-18,"All"
"47",47,2013,1030,2013-11-25,"All"
"48",48,2013,1039,2013-12-02,"All"
"49",49,2013,1071,2013-12-09,"All"
"50",50,2013,1064,2013-12-16,"All"
"51",51,2013,1059,2013-12-23,"All"
"52",52,2013,901,2013-12-31,"All"
"53",1,2014,1090,2014-01-07,"All"
"54",2,2014,1313,2014-01-14,"All"
"55",3,2014,1189,2014-01-21,"All"
"56",4,2014,1137,2014-01-28,"All"
"57",5,2014,1054,2014-02-04,"All"
"58",6,2014,1107,2014-02-11,"All"
"59",7,2014,1073,2014-02-18,"All"
"60",8,2014,1081,2014-02-25,"All"
"61",9,2014,1057,2014-03-04,"All"
"62",10,2014,1044,2014-03-11,"All"
"63",11,2014,1101,2014-03-18,"All"
"64",12,2014,997,2014-03-25,"All"
"65",13,2014,1037,2014-04-01,"All"
"66",14,2014,1018,2014-04-08,"All"
