year,age,mid_year_population,num_week
2015,0 to 14,361077.51817061345,1
2015,0 to 14,361098.92861255567,2
2015,0 to 14,361121.7777122677,3
2015,0 to 14,361146.0461755974,4
2015,0 to 14,361171.7147083925,5
2015,0 to 14,361198.76401650085,6
2015,0 to 14,361227.17480577005,7
2015,0 to 14,361256.927782048,8
2015,0 to 14,361288.00365118246,9
2015,0 to 14,361320.38311902113,10
2015,0 to 14,361354.0468914118,11
2015,0 to 14,361388.9756742024,12
2015,0 to 14,361425.15017324046,13
2015,0 to 14,361462.55109437386,14
2015,0 to 14,361501.15914345044,15
2015,0 to 14,361540.95502631785,16
2015,0 to 14,361581.9194488239,17
2015,0 to 14,361624.03311681637,18
2015,0 to 14,361667.2767361431,19
2015,0 to 14,361711.6310126517,20
2015,0 to 14,361757.0766521901,21
2015,0 to 14,361803.594360606,22
2015,0 to 14,361851.16484374716,23
2015,0 to 14,361899.76880746137,24
2015,0 to 14,361949.3869575964,25
2015,0 to 14,362000,26
2015,0 to 14,362051.58864051994,27
2015,0 to 14,362104.1335850041,28
2015,0 to 14,362157.6155393001,29
2015,0 to 14,362212.01520925574,30
2015,0 to 14,362267.31330071884,31
2015,0 to 14,362323.4905195371,32
2015,0 to 14,362380.5275715584,33
2015,0 to 14,362438.4051626305,34
2015,0 to 14,362497.10399860103,35
2015,0 to 14,362556.6047853179,36
2015,0 to 14,362616.88822862884,37
2015,0 to 14,362677.9350343816,38
2015,0 to 14,362739.72590842395,39
2015,0 to 14,362802.2415566037,40
2015,0 to 14,362865.46268476854,41
2015,0 to 14,362929.36999876634,42
2015,0 to 14,362993.9442044448,43
2015,0 to 14,363059.1660076518,44
2015,0 to 14,363125.0161142349,45
2015,0 to 14,363191.4752300421,46
2015,0 to 14,363258.52406092105,47
2015,0 to 14,363326.14331271953,48
2015,0 to 14,363394.3136912853,49
2015,0 to 14,363463.0159024662,50
2015,0 to 14,363532.2306521099,51
2015,0 to 14,363601.93864606426,52
2015,0 to 14,363672.12059017696,53
2015,15 to 44,729385.2028893994,1
2015,15 to 44,729426.6722605558,2
2015,15 to 44,729464.4013895529,3
2015,15 to 44,729498.4338135555,4
2015,15 to 44,729528.8130697287,5
2015,15 to 44,729555.5826952375,6
2015,15 to 44,729578.7862272469,7
2015,15 to 44,729598.4672029219,8
2015,15 to 44,729614.6691594274,9
2015,15 to 44,729627.4356339286,10
2015,15 to 44,729636.8101635905,11
2015,15 to 44,729642.836285578,12
2015,15 to 44,729645.5575370562,13
2015,15 to 44,729645.01745519,14
2015,15 to 44,729641.2595771444,15
2015,15 to 44,729634.3274400845,16
2015,15 to 44,729624.2645811754,17
2015,15 to 44,729611.1145375819,18
2015,15 to 44,729594.9208464691,19
2015,15 to 44,729575.727045002,20
2015,15 to 44,729553.5766703457,21
2015,15 to 44,729528.5132596651,22
2015,15 to 44,729500.5803501252,23
2015,15 to 44,729469.8214788911,24
2015,15 to 44,729436.2801831276,25
2015,15 to 44,729400,26
2015,15 to 44,729361.0244666731,27
2015,15 to 44,729319.397120312,28
2015,15 to 44,729275.1614980818,29
2015,15 to 44,729228.3611371472,30
2015,15 to 44,729179.0395746734,31
2015,15 to 44,729127.2403478256,32
2015,15 to 44,729073.0069937684,33
2015,15 to 44,729016.3830496671,34
2015,15 to 44,728957.4120526867,35
2015,15 to 44,728896.1375399921,36
2015,15 to 44,728832.6030487483,37
2015,15 to 44,728766.8521161205,38
2015,15 to 44,728698.9282792734,39
2015,15 to 44,728628.8750753723,40
2015,15 to 44,728556.7360415821,41
2015,15 to 44,728482.5547150676,42
2015,15 to 44,728406.3746329942,43
2015,15 to 44,728328.2393325266,44
2015,15 to 44,728248.19235083,45
2015,15 to 44,728166.2772250692,46
2015,15 to 44,728082.5374924095,47
2015,15 to 44,727997.0166900157,48
2015,15 to 44,727909.7583550528,49
2015,15 to 44,727820.8060246859,50
2015,15 to 44,727730.2032360799,51
2015,15 to 44,727637.9935263998,52
2015,15 to 44,727544.2204328108,53
2015,45 to 64,464813.72249963,1
2015,45 to 64,464967.6212236651,2
2015,45 to 64,465120.2007044728,3
2015,45 to 64,465271.4759778651,4
2015,45 to 64,465421.4620796541,5
2015,45 to 64,465570.1740456518,6
2015,45 to 64,465717.6269116704,7
2015,45 to 64,465863.83571352175,8
