year,mid_year_population,num_week
2015,5353572.160983817,1
2015,5354413.269072306,2
2015,5355248.8223111695,3
2015,5356078.849653317,4
2015,5356903.380051656,5
2015,5357722.442459097,6
2015,5358536.065828551,7
2015,5359344.279112926,8
2015,5360147.111265131,9
2015,5360944.591238077,10
2015,5361736.747984672,11
2015,5362523.6104578255,12
2015,5363305.207610449,13
2015,5364081.56839545,14
2015,5364852.721765738,15
2015,5365618.696674223,16
2015,5366379.522073816,17
2015,5367135.226917423,18
2015,5367885.840157957,19
2015,5368631.390748326,20
2015,5369371.907641438,21
2015,5370107.419790205,22
2015,5370837.956147535,23
2015,5371563.545666338,24
2015,5372284.217299523,25
2015,5373000,26
2015,5373710.922720678,27
2015,5374417.014414468,28
2015,5375118.304034277,29
2015,5375814.820533016,30
2015,5376506.592863594,31
2015,5377193.649978921,32
2015,5377876.020831906,33
2015,5378553.734375458,34
2015,5379226.819562488,35
2015,5379895.305345905,36
2015,5380559.220678617,37
2015,5381218.594513535,38
2015,5381873.455803568,39
2015,5382523.833501626,40
2015,5383169.756560617,41
2015,5383811.253933452,42
2015,5384448.354573039,43
2015,5385081.0874322895,44
2015,5385709.481464111,45
2015,5386333.565621415,46
2015,5386953.368857109,47
2015,5387568.920124104,48
2015,5388180.248375309,49
2015,5388787.382563632,50
2015,5389390.351641985,51
2015,5389989.1845632745,52
2015,5390583.910280413,53
2016,5391174.557746309,1
2016,5391761.155913871,2
2016,5392343.733736009,3
2016,5392922.320165633,4
2016,5393496.944155652,5
2016,5394067.6346589755,6
2016,5394634.420628513,7
2016,5395197.331017174,8
2016,5395756.394777868,9
2016,5396311.640863504,10
2016,5396863.098226993,11
2016,5397410.795821243,12
2016,5397954.762599164,13
2016,5398495.027513665,14
2016,5399031.619517656,15
2016,5399564.567564047,16
2016,5400093.900605746,17
2016,5400619.647595664,18
2016,5401141.837486709,19
2016,5401660.499231791,20
2016,5402175.661783821,21
2016,5402687.354095707,22
2016,5403195.605120357,23
2016,5403700.443810684,24
2016,5404201.899119595,25
2016,5404700,26
2016,5405194.761913463,27
2016,5405686.146356158,28
2016,5406174.101332916,29
2016,5406658.574848567,30
2016,5407139.51490794,31
2016,5407616.869515866,32
2016,5408090.586677174,33
2016,5408560.614396693,34
2016,5409026.900679254,35
2016,5409489.393529685,36
2016,5409948.040952818,37
2016,5410402.79095348,38
2016,5410853.591536502,39
2016,5411300.390706715,40
2016,5411743.136468947,41
2016,5412181.776828028,42
2016,5412616.259788789,43
2016,5413046.5333560575,44
2016,5413472.545534665,45
2016,5413894.24432944,46
2016,5414311.577745214,47
2016,5414724.493786815,48
2016,5415132.940459073,49
2016,5415536.865766818,50
2016,5415936.217714879,51
2016,5416330.944308087,52
2017,5416720.993551271,1
2017,5417106.313449261,2
2017,5417486.852006886,3
2017,5417862.557228977,4
2017,5418233.377120363,5
2017,5418599.259685872,6
2017,5418960.152930337,7
2017,5419316.004858585,8
2017,5419666.763475447,9
2017,5420012.376785753,10
2017,5420352.792794332,11
2017,5420687.959506013,12
2017,5421017.8249256285,13
2017,5421342.337058005,14
2017,5421661.443907973,15
2017,5421975.0934803635,16
2017,5422283.233780006,17
2017,5422585.812811729,18
2017,5422882.778580363,19
2017,5423174.079090737,20
2017,5423459.662347682,21
2017,5423739.476356027,22
2017,5424013.469120601,23
2017,5424281.588646235,24
2017,5424543.782937758,25
2017,5424800,26
2017,5425050.255423012,27
2017,5425294.835137736,28
2017,5425534.092660334,29
2017,5425768.381506968,30
2017,5425998.055193801,31
2017,5426223.467236996,32
2017,5426444.971152715,33
2017,5426662.920457122,34
2017,5426877.668666378,35
2017,5427089.569296646,36
2017,5427298.975864089,37
2017,5427506.2418848695,38
2017,5427711.7208751505,39
2017,5427915.7663510945,40
2017,5428118.731828864,41
2017,5428320.970824622,42
2017,5428522.83685453,43
2017,5428724.683434752,44
2017,5428926.864081449,45
2017,5429129.732310786,46
2017,5429333.641638923,47
2017,5429538.945582025,48
2017,5429745.997656253,49
2017,5429955.15137777,50
2017,5430166.76026274,51
2017,5430381.177827324,52
2018,5430598.757587684,1
2018,5430819.853059986,2
2018,5431044.817760388,3
2018,5431274.005205057,4
2018,5431507.768910153,5
2018,5431746.462391839,6
2018,5431990.439166279,7
2018,5432240.052749634,8
2018,5432495.656658066,9
2018,5432757.604407741,10
2018,5433026.249514818,11
2018,5433301.945495462,12
2018,5433585.045865835,13
2018,5433875.9041420985,14
2018,5434174.873840417,15
2018,5434482.308476952,16
2018,5434798.561567865,17
2018,5435123.986629322,18
2018,5435458.937177483,19
2018,5435803.766728511,20
2018,5436158.828798569,21
2018,5436524.4769038195,22
2018,5436901.0645604255,23
2018,5437288.945284549,24
2018,5437688.472592353,25
2018,5438100,26
2018,5438523.7280865675,27
2018,5438959.245682793,28
2018,5439405.988682325,29
2018,5439863.392978818,30
2018,5440330.894465921,31
2018,5440807.929037287,32
2018,5441293.932586567,33
2018,5441788.34100741,34
2018,5442290.59019347,35
2018,5442800.116038397,36
2018,5443316.354435842,37
2018,5443838.741279458,38
2018,5444366.712462894,39
2018,5444899.7038798025,40
2018,5445437.151423835,41
2018,5445978.490988642,42
2018,5446523.158467876,43
2018,5447070.589755187,44
2018,5447620.220744227,45
