"","Date","All","Female","Male","Year","WeekNumber","Nation"
"1",2013-01-07,56766856.7232877,28815771.7479452,27951084.9753425,2013,1,"EW"
"2",2013-01-14,56774152.1424658,28819120.0109589,27955032.1315068,2013,2,"EW"
"3",2013-01-21,56781447.5616438,28822468.2739726,27958979.2876712,2013,3,"EW"
"4",2013-01-28,56788742.9808219,28825816.5369863,27962926.4438356,2013,4,"EW"
"5",2013-02-04,56796038.4,28829164.8,27966873.6,2013,5,"EW"
"6",2013-02-11,56803333.8191781,28832513.0630137,27970820.7561644,2013,6,"EW"
"7",2013-02-18,56810629.2383562,28835861.3260274,27974767.9123288,2013,7,"EW"
"8",2013-02-25,56817924.6575342,28839209.5890411,27978715.0684932,2013,8,"EW"
"9",2013-03-04,56825220.0767123,28842557.8520548,27982662.2246575,2013,9,"EW"
"10",2013-03-11,56832515.4958904,28845906.1150685,27986609.3808219,2013,10,"EW"
"11",2013-03-18,56839810.9150685,28849254.3780822,27990556.5369863,2013,11,"EW"
"12",2013-03-25,56847106.3342466,28852602.6410959,27994503.6931507,2013,12,"EW"
"13",2013-04-01,56854401.7534247,28855950.9041096,27998450.8493151,2013,13,"EW"
"14",2013-04-08,56861697.1726027,28859299.1671233,28002398.0054795,2013,14,"EW"
"15",2013-04-15,56868992.5917808,28862647.430137,28006345.1616438,2013,15,"EW"
"16",2013-04-22,56876288.0109589,28865995.6931507,28010292.3178082,2013,16,"EW"
"17",2013-04-29,56883583.430137,28869343.9561644,28014239.4739726,2013,17,"EW"
"18",2013-05-06,56890878.8493151,28872692.2191781,28018186.630137,2013,18,"EW"
"19",2013-05-13,56898174.2684932,28876040.4821918,28022133.7863014,2013,19,"EW"
"20",2013-05-20,56905469.6876712,28879388.7452055,28026080.9424658,2013,20,"EW"
"21",2013-05-27,56912765.1068493,28882737.0082192,28030028.0986301,2013,21,"EW"
"22",2013-06-03,56920060.5260274,28886085.2712329,28033975.2547945,2013,22,"EW"
"23",2013-06-10,56927355.9452055,28889433.5342466,28037922.4109589,2013,23,"EW"
"24",2013-06-17,56934651.3643836,28892781.7972603,28041869.5671233,2013,24,"EW"
"25",2013-06-24,56941946.7835616,28896130.060274,28045816.7232877,2013,25,"EW"
"26",2013-07-01,56949461.369863,28899589.3150685,28049872.0547945,2013,26,"EW"
"27",2013-07-08,56958290.9589041,28903714.5205479,28054576.4383562,2013,27,"EW"
"28",2013-07-15,56967120.5479452,28907839.7260274,28059280.8219178,2013,28,"EW"
"29",2013-07-22,56975950.1369863,28911964.9315068,28063985.2054795,2013,29,"EW"
"30",2013-07-29,56984779.7260274,28916090.1369863,28068689.5890411,2013,30,"EW"
"31",2013-08-05,56993609.3150685,28920215.3424658,28073393.9726027,2013,31,"EW"
"32",2013-08-12,57002438.9041096,28924340.5479452,28078098.3561644,2013,32,"EW"
"33",2013-08-19,57011268.4931507,28928465.7534247,28082802.739726,2013,33,"EW"
"34",2013-08-26,57020098.0821918,28932590.9589041,28087507.1232877,2013,34,"EW"
"35",2013-09-02,57028927.6712329,28936716.1643836,28092211.5068493,2013,35,"EW"
"36",2013-09-09,57037757.260274,28940841.369863,28096915.890411,2013,36,"EW"
"37",2013-09-16,57046586.8493151,28944966.5753425,28101620.2739726,2013,37,"EW"
"38",2013-09-23,57055416.4383562,28949091.7808219,28106324.6575342,2013,38,"EW"
"39",2013-09-30,57064246.0273973,28953216.9863014,28111029.0410959,2013,39,"EW"
"40",2013-10-07,57073075.6164384,28957342.1917808,28115733.4246575,2013,40,"EW"
"41",2013-10-14,57081905.2054795,28961467.3972603,28120437.8082192,2013,41,"EW"
"42",2013-10-21,57090734.7945205,28965592.6027397,28125142.1917808,2013,42,"EW"
"43",2013-10-28,57099564.3835616,28969717.8082192,28129846.5753425,2013,43,"EW"
"44",2013-11-04,57108393.9726027,28973843.0136986,28134550.9589041,2013,44,"EW"
"45",2013-11-11,57117223.5616438,28977968.2191781,28139255.3424658,2013,45,"EW"
"46",2013-11-18,57126053.1506849,28982093.4246575,28143959.7260274,2013,46,"EW"
"47",2013-11-25,57134882.739726,28986218.630137,28148664.109589,2013,47,"EW"
"48",2013-12-02,57143712.3287671,28990343.8356164,28153368.4931507,2013,48,"EW"
"49",2013-12-09,57152541.9178082,28994469.0410959,28158072.8767123,2013,49,"EW"
"50",2013-12-16,57161371.5068493,28998594.2465753,28162777.260274,2013,50,"EW"
"51",2013-12-23,57170201.0958904,29002719.4520548,28167481.6438356,2013,51,"EW"
"52",2013-12-31,57180292.0547945,29007433.9726027,28172858.0821918,2013,52,"EW"
"53",2014-01-07,57189121.6438356,29011559.1780822,28177562.4657534,2014,1,"EW"
"54",2014-01-14,57197951.2328767,29015684.3835616,28182266.8493151,2014,2,"EW"
"55",2014-01-21,57206780.8219178,29019809.5890411,28186971.2328767,2014,3,"EW"
"56",2014-01-28,57215610.4109589,29023934.7945205,28191675.6164384,2014,4,"EW"
"57",2014-02-04,57224440,29028060,28196380,2014,5,"EW"
"58",2014-02-11,57233269.5890411,29032185.2054795,28201084.3835616,2014,6,"EW"
"59",2014-02-18,57242099.1780822,29036310.4109589,28205788.7671233,2014,7,"EW"
"60",2014-02-25,57250928.7671233,29040435.6164384,28210493.1506849,2014,8,"EW"
"61",2014-03-04,57259758.3561644,29044560.8219178,28215197.5342466,2014,9,"EW"
"62",2014-03-11,57268587.9452055,29048686.0273973,28219901.9178082,2014,10,"EW"
"63",2014-03-18,57277417.5342466,29052811.2328767,28224606.3013699,2014,11,"EW"
"64",2014-03-25,57286247.1232877,29056936.4383562,28229310.6849315,2014,12,"EW"
"65",2014-04-01,57295076.7123288,29061061.6438356,28234015.0684932,2014,13,"EW"
"66",2014-04-08,57303906.3013699,29065186.8493151,28238719.4520548,2014,14,"EW"
"67",2014-04-15,57312735.890411,29069312.0547945,28243423.8356164,2014,15,"EW"
"68",2014-04-22,57321565.4794521,29073437.260274,28248128.2191781,2014,16,"EW"
"69",2014-04-29,57330395.0684932,29077562.4657534,28252832.6027397,2014,17,"EW"
"70",2014-05-06,57339224.6575342,29081687.6712329,28257536.9863014,2014,18,"EW"
"71",2014-05-13,57348054.2465753,29085812.8767123,28262241.369863,2014,19,"EW"
