"","Date","All","WeekNumber","Nation","Year"
"1",2013-01-07,1828304.7369863,1,"NI",2013
"2",2013-01-14,1828440.40273973,2,"NI",2013
"3",2013-01-21,1828576.06849315,3,"NI",2013
"4",2013-01-28,1828711.73424658,4,"NI",2013
"5",2013-02-04,1828847.4,5,"NI",2013
"6",2013-02-11,1828983.06575342,6,"NI",2013
"7",2013-02-18,1829118.73150685,7,"NI",2013
"8",2013-02-25,1829254.39726027,8,"NI",2013
"9",2013-03-04,1829390.0630137,9,"NI",2013
"10",2013-03-11,1829525.72876712,10,"NI",2013
"11",2013-03-18,1829661.39452055,11,"NI",2013
"12",2013-03-25,1829797.06027397,12,"NI",2013
"13",2013-04-01,1829932.7260274,13,"NI",2013
"14",2013-04-08,1830068.39178082,14,"NI",2013
"15",2013-04-15,1830204.05753425,15,"NI",2013
"16",2013-04-22,1830339.72328767,16,"NI",2013
"17",2013-04-29,1830475.3890411,17,"NI",2013
"18",2013-05-06,1830611.05479452,18,"NI",2013
"19",2013-05-13,1830746.72054795,19,"NI",2013
"20",2013-05-20,1830882.38630137,20,"NI",2013
"21",2013-05-27,1831018.05205479,21,"NI",2013
"22",2013-06-03,1831153.71780822,22,"NI",2013
"23",2013-06-10,1831289.38356164,23,"NI",2013
"24",2013-06-17,1831425.04931507,24,"NI",2013
"25",2013-06-24,1831560.71506849,25,"NI",2013
"26",2013-07-01,1831708.53150685,26,"NI",2013
"27",2013-07-08,1831929.25205479,27,"NI",2013
"28",2013-07-15,1832149.97260274,28,"NI",2013
"29",2013-07-22,1832370.69315068,29,"NI",2013
"30",2013-07-29,1832591.41369863,30,"NI",2013
"31",2013-08-05,1832812.13424658,31,"NI",2013
"32",2013-08-12,1833032.85479452,32,"NI",2013
"33",2013-08-19,1833253.57534247,33,"NI",2013
"34",2013-08-26,1833474.29589041,34,"NI",2013
"35",2013-09-02,1833695.01643836,35,"NI",2013
"36",2013-09-09,1833915.7369863,36,"NI",2013
"37",2013-09-16,1834136.45753425,37,"NI",2013
"38",2013-09-23,1834357.17808219,38,"NI",2013
"39",2013-09-30,1834577.89863014,39,"NI",2013
"40",2013-10-07,1834798.61917808,40,"NI",2013
"41",2013-10-14,1835019.33972603,41,"NI",2013
"42",2013-10-21,1835240.06027397,42,"NI",2013
"43",2013-10-28,1835460.78082192,43,"NI",2013
"44",2013-11-04,1835681.50136986,44,"NI",2013
"45",2013-11-11,1835902.22191781,45,"NI",2013
"46",2013-11-18,1836122.94246575,46,"NI",2013
"47",2013-11-25,1836343.6630137,47,"NI",2013
"48",2013-12-02,1836564.38356164,48,"NI",2013
"49",2013-12-09,1836785.10410959,49,"NI",2013
"50",2013-12-16,1837005.82465753,50,"NI",2013
"51",2013-12-23,1837226.54520548,51,"NI",2013
"52",2013-12-31,1837478.79726027,52,"NI",2013
"53",2014-01-07,1837699.51780822,1,"NI",2014
"54",2014-01-14,1837920.23835616,2,"NI",2014
"55",2014-01-21,1838140.95890411,3,"NI",2014
"56",2014-01-28,1838361.67945205,4,"NI",2014
"57",2014-02-04,1838582.4,5,"NI",2014
"58",2014-02-11,1838803.12054795,6,"NI",2014
"59",2014-02-18,1839023.84109589,7,"NI",2014
"60",2014-02-25,1839244.56164384,8,"NI",2014
"61",2014-03-04,1839465.28219178,9,"NI",2014
"62",2014-03-11,1839686.00273973,10,"NI",2014
"63",2014-03-18,1839906.72328767,11,"NI",2014
"64",2014-03-25,1840127.44383562,12,"NI",2014
"65",2014-04-01,1840348.16438356,13,"NI",2014
"66",2014-04-08,1840568.88493151,14,"NI",2014
"67",2014-04-15,1840789.60547945,15,"NI",2014
"68",2014-04-22,1841010.3260274,16,"NI",2014
"69",2014-04-29,1841231.04657534,17,"NI",2014
"70",2014-05-06,1841451.76712329,18,"NI",2014
"71",2014-05-13,1841672.48767123,19,"NI",2014
"72",2014-05-20,1841893.20821918,20,"NI",2014
"73",2014-05-27,1842113.92876712,21,"NI",2014
"74",2014-06-03,1842334.64931507,22,"NI",2014
"75",2014-06-10,1842555.36986301,23,"NI",2014
"76",2014-06-17,1842776.09041096,24,"NI",2014
"77",2014-06-24,1842996.8109589,25,"NI",2014
"78",2014-07-01,1843218.2109589,26,"NI",2014
"79",2014-07-08,1843443.68767123,27,"NI",2014
"80",2014-07-15,1843669.16438356,28,"NI",2014
"81",2014-07-22,1843894.64109589,29,"NI",2014
"82",2014-07-29,1844120.11780822,30,"NI",2014
"83",2014-08-05,1844345.59452055,31,"NI",2014
"84",2014-08-12,1844571.07123288,32,"NI",2014
"85",2014-08-19,1844796.54794521,33,"NI",2014
"86",2014-08-26,1845022.02465753,34,"NI",2014
"87",2014-09-02,1845247.50136986,35,"NI",2014
"88",2014-09-09,1845472.97808219,36,"NI",2014
"89",2014-09-16,1845698.45479452,37,"NI",2014
"90",2014-09-23,1845923.93150685,38,"NI",2014
"91",2014-09-30,1846149.40821918,39,"NI",2014
"92",2014-10-07,1846374.88493151,40,"NI",2014
"93",2014-10-14,1846600.36164384,41,"NI",2014
"94",2014-10-21,1846825.83835616,42,"NI",2014
"95",2014-10-28,1847051.31506849,43,"NI",2014
"96",2014-11-04,1847276.79178082,44,"NI",2014
"97",2014-11-11,1847502.26849315,45,"NI",2014
"98",2014-11-18,1847727.74520548,46,"NI",2014
"99",2014-11-25,1847953.22191781,47,"NI",2014
"100",2014-12-02,1848178.69863014,48,"NI",2014
"101",2014-12-09,1848404.17534247,49,"NI",2014
"102",2014-12-16,1848629.65205479,50,"NI",2014
"103",2014-12-23,1848855.12876712,51,"NI",2014
"104",2014-12-31,1849112.81643836,52,"NI",2014
"105",2015-01-07,1849338.29315069,1,"NI",2015
"106",2015-01-14,1849563.76986301,2,"NI",2015
"107",2015-01-21,1849789.24657534,3,"NI",2015
"108",2015-01-28,1850014.72328767,4,"NI",2015
"109",2015-02-04,1850240.2,5,"NI",2015
"110",2015-02-11,1850465.67671233,6,"NI",2015
"111",2015-02-18,1850691.15342466,7,"NI",2015
"112",2015-02-25,1850916.63013699,8,"NI",2015
"113",2015-03-04,1851142.10684932,9,"NI",2015
"114",2015-03-11,1851367.58356164,10,"NI",2015
"115",2015-03-18,1851593.06027397,11,"NI",2015
"116",2015-03-25,1851818.5369863,12,"NI",2015
"117",2015-04-01,1852044.01369863,13,"NI",2015
