"","Date","All","WeekNumber","Nation","Year"
"1",2013-01-07,5320978.35616438,1,"S",2013
"2",2013-01-14,5321248.76712329,2,"S",2013
"3",2013-01-21,5321519.17808219,3,"S",2013
"4",2013-01-28,5321789.5890411,4,"S",2013
"5",2013-02-04,5322060,5,"S",2013
"6",2013-02-11,5322330.4109589,6,"S",2013
"7",2013-02-18,5322600.82191781,7,"S",2013
"8",2013-02-25,5322871.23287671,8,"S",2013
"9",2013-03-04,5323141.64383562,9,"S",2013
"10",2013-03-11,5323412.05479452,10,"S",2013
"11",2013-03-18,5323682.46575342,11,"S",2013
"12",2013-03-25,5323952.87671233,12,"S",2013
"13",2013-04-01,5324223.28767123,13,"S",2013
"14",2013-04-08,5324493.69863014,14,"S",2013
"15",2013-04-15,5324764.10958904,15,"S",2013
"16",2013-04-22,5325034.52054795,16,"S",2013
"17",2013-04-29,5325304.93150685,17,"S",2013
"18",2013-05-06,5325575.34246575,18,"S",2013
"19",2013-05-13,5325845.75342466,19,"S",2013
"20",2013-05-20,5326116.16438356,20,"S",2013
"21",2013-05-27,5326386.57534247,21,"S",2013
"22",2013-06-03,5326656.98630137,22,"S",2013
"23",2013-06-10,5326927.39726027,23,"S",2013
"24",2013-06-17,5327197.80821918,24,"S",2013
"25",2013-06-24,5327468.21917808,25,"S",2013
"26",2013-07-01,5327754.52054795,26,"S",2013
"27",2013-07-08,5328136.16438356,27,"S",2013
"28",2013-07-15,5328517.80821918,28,"S",2013
"29",2013-07-22,5328899.45205479,29,"S",2013
"30",2013-07-29,5329281.09589041,30,"S",2013
"31",2013-08-05,5329662.73972603,31,"S",2013
"32",2013-08-12,5330044.38356164,32,"S",2013
"33",2013-08-19,5330426.02739726,33,"S",2013
"34",2013-08-26,5330807.67123288,34,"S",2013
"35",2013-09-02,5331189.31506849,35,"S",2013
"36",2013-09-09,5331570.95890411,36,"S",2013
"37",2013-09-16,5331952.60273973,37,"S",2013
"38",2013-09-23,5332334.24657534,38,"S",2013
"39",2013-09-30,5332715.89041096,39,"S",2013
"40",2013-10-07,5333097.53424658,40,"S",2013
"41",2013-10-14,5333479.17808219,41,"S",2013
"42",2013-10-21,5333860.82191781,42,"S",2013
"43",2013-10-28,5334242.46575342,43,"S",2013
"44",2013-11-04,5334624.10958904,44,"S",2013
"45",2013-11-11,5335005.75342466,45,"S",2013
"46",2013-11-18,5335387.39726027,46,"S",2013
"47",2013-11-25,5335769.04109589,47,"S",2013
"48",2013-12-02,5336150.68493151,48,"S",2013
"49",2013-12-09,5336532.32876712,49,"S",2013
"50",2013-12-16,5336913.97260274,50,"S",2013
"51",2013-12-23,5337295.61643836,51,"S",2013
"52",2013-12-31,5337731.78082192,52,"S",2013
"53",2014-01-07,5338113.42465753,1,"S",2014
"54",2014-01-14,5338495.06849315,2,"S",2014
"55",2014-01-21,5338876.71232877,3,"S",2014
"56",2014-01-28,5339258.35616438,4,"S",2014
"57",2014-02-04,5339640,5,"S",2014
"58",2014-02-11,5340021.64383562,6,"S",2014
"59",2014-02-18,5340403.28767123,7,"S",2014
"60",2014-02-25,5340784.93150685,8,"S",2014
"61",2014-03-04,5341166.57534247,9,"S",2014
"62",2014-03-11,5341548.21917808,10,"S",2014
"63",2014-03-18,5341929.8630137,11,"S",2014
"64",2014-03-25,5342311.50684932,12,"S",2014
"65",2014-04-01,5342693.15068493,13,"S",2014
"66",2014-04-08,5343074.79452055,14,"S",2014
"67",2014-04-15,5343456.43835616,15,"S",2014
"68",2014-04-22,5343838.08219178,16,"S",2014
"69",2014-04-29,5344219.7260274,17,"S",2014
"70",2014-05-06,5344601.36986301,18,"S",2014
"71",2014-05-13,5344983.01369863,19,"S",2014
"72",2014-05-20,5345364.65753425,20,"S",2014
"73",2014-05-27,5345746.30136986,21,"S",2014
"74",2014-06-03,5346127.94520548,22,"S",2014
"75",2014-06-10,5346509.5890411,23,"S",2014
"76",2014-06-17,5346891.23287671,24,"S",2014
"77",2014-06-24,5347272.87671233,25,"S",2014
"78",2014-07-01,5347669.5890411,26,"S",2014
"79",2014-07-08,5348156.71232877,27,"S",2014
"80",2014-07-15,5348643.83561644,28,"S",2014
"81",2014-07-22,5349130.95890411,29,"S",2014
"82",2014-07-29,5349618.08219178,30,"S",2014
"83",2014-08-05,5350105.20547945,31,"S",2014
"84",2014-08-12,5350592.32876712,32,"S",2014
"85",2014-08-19,5351079.45205479,33,"S",2014
"86",2014-08-26,5351566.57534247,34,"S",2014
"87",2014-09-02,5352053.69863014,35,"S",2014
"88",2014-09-09,5352540.82191781,36,"S",2014
"89",2014-09-16,5353027.94520548,37,"S",2014
"90",2014-09-23,5353515.06849315,38,"S",2014
"91",2014-09-30,5354002.19178082,39,"S",2014
"92",2014-10-07,5354489.31506849,40,"S",2014
"93",2014-10-14,5354976.43835616,41,"S",2014
"94",2014-10-21,5355463.56164384,42,"S",2014
"95",2014-10-28,5355950.68493151,43,"S",2014
"96",2014-11-04,5356437.80821918,44,"S",2014
"97",2014-11-11,5356924.93150685,45,"S",2014
"98",2014-11-18,5357412.05479452,46,"S",2014
"99",2014-11-25,5357899.17808219,47,"S",2014
"100",2014-12-02,5358386.30136986,48,"S",2014
"101",2014-12-09,5358873.42465753,49,"S",2014
"102",2014-12-16,5359360.54794521,50,"S",2014
"103",2014-12-23,5359847.67123288,51,"S",2014
"104",2014-12-31,5360404.38356164,52,"S",2014
"105",2015-01-07,5360891.50684932,1,"S",2015
"106",2015-01-14,5361378.63013699,2,"S",2015
"107",2015-01-21,5361865.75342466,3,"S",2015
"108",2015-01-28,5362352.87671233,4,"S",2015
"109",2015-02-04,5362840,5,"S",2015
"110",2015-02-11,5363327.12328767,6,"S",2015
"111",2015-02-18,5363814.24657534,7,"S",2015
"112",2015-02-25,5364301.36986301,8,"S",2015
"113",2015-03-04,5364788.49315068,9,"S",2015
"114",2015-03-11,5365275.61643836,10,"S",2015
"115",2015-03-18,5365762.73972603,11,"S",2015
"116",2015-03-25,5366249.8630137,12,"S",2015
"117",2015-04-01,5366736.98630137,13,"S",2015
"118",2015-04-08,5367224.10958904,14,"S",2015
"119",2015-04-15,5367711.23287671,15,"S",2015
"120",2015-04-22,5368198.35616438,16,"S",2015
"121",2015-04-29,5368685.47945205,17,"S",2015
"122",2015-05-06,5369172.60273973,18,"S",2015
"123",2015-05-13,5369659.7260274,19,"S",2015
"124",2015-05-20,5370146.84931507,20,"S",2015
"125",2015-05-27,5370633.97260274,21,"S",2015
"126",2015-06-03,5371121.09589041,22,"S",2015
"127",2015-06-10,5371608.21917808,23,"S",2015
"128",2015-06-17,5372095.34246575,24,"S",2015
"129",2015-06-24,5372582.46575342,25,"S",2015
"130",2015-07-01,5373086.61202186,26,"S",2015
"131",2015-07-08,5373692.89617486,27,"S",2015
"132",2015-07-15,5374299.18032787,28,"S",2015
"133",2015-07-22,5374905.46448087,29,"S",2015
"134",2015-07-29,5375511.74863388,30,"S",2015
"135",2015-08-05,5376118.03278689,31,"S",2015
"136",2015-08-12,5376724.31693989,32,"S",2015
"137",2015-08-19,5377330.6010929,33,"S",2015
"138",2015-08-26,5377936.8852459,34,"S",2015
"139",2015-09-02,5378543.16939891,35,"S",2015
"140",2015-09-09,5379149.45355191,36,"S",2015
"141",2015-09-16,5379755.73770492,37,"S",2015
"142",2015-09-23,5380362.02185792,38,"S",2015
"143",2015-09-30,5380968.30601093,39,"S",2015
"144",2015-10-07,5381574.59016393,40,"S",2015
"145",2015-10-14,5382180.87431694,41,"S",2015
"146",2015-10-21,5382787.15846995,42,"S",2015
"147",2015-10-28,5383393.44262295,43,"S",2015
"148",2015-11-04,5383999.72677596,44,"S",2015
"149",2015-11-11,5384606.01092896,45,"S",2015
"150",2015-11-18,5385212.29508197,46,"S",2015
"151",2015-11-25,5385818.57923497,47,"S",2015
"152",2015-12-02,5386424.86338798,48,"S",2015
"153",2015-12-09,5387031.14754098,49,"S",2015
"154",2015-12-16,5387637.43169399,50,"S",2015
"155",2015-12-23,5388243.71584699,51,"S",2015
"156",2015-12-31,5388936.61202186,52,"S",2015
"157",2016-01-07,5389542.89617486,1,"S",2016
"158",2016-01-14,5390149.18032787,2,"S",2016
"159",2016-01-21,5390755.46448087,3,"S",2016
"160",2016-01-28,5391361.74863388,4,"S",2016
"161",2016-02-04,5391968.03278689,5,"S",2016
"162",2016-02-11,5392574.31693989,6,"S",2016
"163",2016-02-18,5393180.6010929,7,"S",2016
"164",2016-02-25,5393786.8852459,8,"S",2016
"165",2016-03-03,5394393.16939891,9,"S",2016
"166",2016-03-10,5394999.45355191,10,"S",2016
"167",2016-03-17,5395605.73770492,11,"S",2016
"168",2016-03-24,5396212.02185792,12,"S",2016
"169",2016-03-31,5396818.30601093,13,"S",2016
"170",2016-04-07,5397424.59016393,14,"S",2016
"171",2016-04-14,5398030.87431694,15,"S",2016
"172",2016-04-21,5398637.15846995,16,"S",2016
"173",2016-04-28,5399243.44262295,17,"S",2016
"174",2016-05-05,5399849.72677596,18,"S",2016
"175",2016-05-12,5400456.01092896,19,"S",2016
"176",2016-05-19,5401062.29508197,20,"S",2016
"177",2016-05-26,5401668.57923497,21,"S",2016
"178",2016-06-02,5402274.86338798,22,"S",2016
"179",2016-06-09,5402881.14754098,23,"S",2016
"180",2016-06-16,5403487.43169399,24,"S",2016
"181",2016-06-23,5404093.71584699,25,"S",2016
"182",2016-06-30,5404700,26,"S",2016
"183",2016-07-07,5405085.47945205,27,"S",2016
"184",2016-07-14,5405470.95890411,28,"S",2016
