"","Date","All","WeekNumber","Nation","Year","Female","Male"
"1",2013-01-07,1828304.7369863,1,"NI",2013,0,0
"2",2013-01-14,1828440.40273973,2,"NI",2013,0,0
"3",2013-01-21,1828576.06849315,3,"NI",2013,0,0
"4",2013-01-28,1828711.73424658,4,"NI",2013,0,0
"5",2013-02-04,1828847.4,5,"NI",2013,0,0
"6",2013-02-11,1828983.06575342,6,"NI",2013,0,0
"7",2013-02-18,1829118.73150685,7,"NI",2013,0,0
"8",2013-02-25,1829254.39726027,8,"NI",2013,0,0
"9",2013-03-04,1829390.0630137,9,"NI",2013,0,0
"10",2013-03-11,1829525.72876712,10,"NI",2013,0,0
"11",2013-03-18,1829661.39452055,11,"NI",2013,0,0
"12",2013-03-25,1829797.06027397,12,"NI",2013,0,0
"13",2013-04-01,1829932.7260274,13,"NI",2013,0,0
"14",2013-04-08,1830068.39178082,14,"NI",2013,0,0
"15",2013-04-15,1830204.05753425,15,"NI",2013,0,0
"16",2013-04-22,1830339.72328767,16,"NI",2013,0,0
"17",2013-04-29,1830475.3890411,17,"NI",2013,0,0
"18",2013-05-06,1830611.05479452,18,"NI",2013,0,0
"19",2013-05-13,1830746.72054795,19,"NI",2013,0,0
"20",2013-05-20,1830882.38630137,20,"NI",2013,0,0
"21",2013-05-27,1831018.05205479,21,"NI",2013,0,0
"22",2013-06-03,1831153.71780822,22,"NI",2013,0,0
"23",2013-06-10,1831289.38356164,23,"NI",2013,0,0
"24",2013-06-17,1831425.04931507,24,"NI",2013,0,0
"25",2013-06-24,1831560.71506849,25,"NI",2013,0,0
"26",2013-07-01,1831708.53150685,26,"NI",2013,0,0
"27",2013-07-08,1831929.25205479,27,"NI",2013,0,0
"28",2013-07-15,1832149.97260274,28,"NI",2013,0,0
"29",2013-07-22,1832370.69315068,29,"NI",2013,0,0
"30",2013-07-29,1832591.41369863,30,"NI",2013,0,0
"31",2013-08-05,1832812.13424658,31,"NI",2013,0,0
"32",2013-08-12,1833032.85479452,32,"NI",2013,0,0
"33",2013-08-19,1833253.57534247,33,"NI",2013,0,0
"34",2013-08-26,1833474.29589041,34,"NI",2013,0,0
"35",2013-09-02,1833695.01643836,35,"NI",2013,0,0
"36",2013-09-09,1833915.7369863,36,"NI",2013,0,0
"37",2013-09-16,1834136.45753425,37,"NI",2013,0,0
"38",2013-09-23,1834357.17808219,38,"NI",2013,0,0
"39",2013-09-30,1834577.89863014,39,"NI",2013,0,0
"40",2013-10-07,1834798.61917808,40,"NI",2013,0,0
