Country,WeekEnding,Deaths,Gender,Year
S,07/01/2013,1201,All,2013
S,07/01/2014,1090,All,2014
S,07/01/2015,2164,All,2015
S,07/01/2016,1394,All,2016
S,07/01/2017,1205,All,2017
S,07/01/2018,1531,All,2018
S,07/01/2019,1104,All,2019
S,07/01/2020,2339,All,2020
S,07/01/2021,1720,All,2021
S,07/01/2022,1231,All,2022
S,14/01/2013,1425,All,2013
S,14/01/2014,1313,All,2014
S,14/01/2015,1708,All,2015
S,14/01/2016,1305,All,2016
S,14/01/2017,1379,All,2017
S,14/01/2018,1899,All,2018
S,14/01/2019,1507,All,2019
S,14/01/2020,1567,All,2020
S,14/01/2021,1550,All,2021
S,14/01/2022,1517,All,2022
S,21/01/2013,1265,All,2013
S,21/01/2014,1189,All,2014
S,21/01/2015,1489,All,2015
S,21/01/2016,1215,All,2016
S,21/01/2017,1224,All,2017
S,21/01/2018,1629,All,2018
S,21/01/2019,1353,All,2019
S,21/01/2020,1322,All,2020
S,21/01/2021,1559,All,2021
S,21/01/2022,1347,All,2022
S,28/01/2013,1212,All,2013
S,28/01/2014,1137,All,2014
S,28/01/2015,1381,All,2015
S,28/01/2016,1187,All,2016
S,28/01/2017,1197,All,2017
S,28/01/2018,1610,All,2018
S,28/01/2019,1208,All,2019
S,28/01/2020,1226,All,2020
S,28/01/2021,1604,All,2021
S,28/01/2022,1261,All,2022
S,04/02/2013,1282,All,2013
S,04/02/2014,1054,All,2014
S,04/02/2015,1286,All,2015
S,04/02/2016,1205,All,2016
S,04/02/2017,1332,All,2017
S,04/02/2018,1369,All,2018
S,04/02/2019,1206,All,2019
S,04/02/2020,1188,All,2020
S,04/02/2021,1506,All,2021
S,04/02/2022,1260,All,2022
S,11/02/2013,1194,All,2013
S,11/02/2014,1107,All,2014
S,11/02/2015,1344,All,2015
S,11/02/2016,1217,All,2016
S,11/02/2017,1200,All,2017
S,11/02/2018,1265,All,2018
S,11/02/2019,1243,All,2019
S,11/02/2020,1216,All,2020
S,11/02/2021,1412,All,2021
S,11/02/2022,1238,All,2022
S,18/02/2013,1113,All,2013
S,18/02/2014,1073,All,2014
S,18/02/2015,1360,All,2015
S,18/02/2016,1209,All,2016
S,18/02/2017,1231,All,2017
S,18/02/2018,1315,All,2018
S,18/02/2019,1181,All,2019
S,18/02/2020,1162,All,2020
S,18/02/2021,1422,All,2021
S,18/02/2022,1158,All,2022
S,25/02/2013,1228,All,2013
S,25/02/2014,1081,All,2014
S,25/02/2015,1320,All,2015
S,25/02/2016,1239,All,2016
S,25/02/2017,1185,All,2017
S,25/02/2018,1245,All,2018
S,25/02/2019,1245,All,2019
S,25/02/2020,1162,All,2020
S,25/02/2021,1325,All,2021
S,25/02/2022,1190,All,2022
S,04/03/2013,1108,All,2013
S,04/03/2014,1057,All,2014
S,04/03/2015,1308,All,2015
S,03/03/2016,1150,All,2016
S,04/03/2017,1219,All,2017
S,04/03/2018,1022,All,2018
S,04/03/2019,1125,All,2019
S,03/03/2020,1171,All,2020
S,04/03/2021,1204,All,2021
S,04/03/2022,1192,All,2022
