"","age","death_prob_male","death_prob_female","year","region","female","male","total_pop","male_prop","female_prop","death_prop","total_death"
"1",0,0.004173,0.003099,2013,"Wales",15237,16161,31398,0.514714313013568,0.485285686986432,0.00365180317217657,115
"2",1,0.000357,0.000198,2013,"Wales",15894,16713,32607,0.512558653049959,0.487441346950041,0.000279496825834943,9
"3",2,0.000164,0.000211,2013,"Wales",16324,17163,33487,0.512527249380357,0.487472750619643,0.000186911219279123,6
"4",3,5.4e-05,5.7e-05,2013,"Wales",16018,16851,32869,0.512671514192704,0.487328485807296,5.54619854574219e-05,2
"5",4,1.8e-05,0,2013,"Wales",15735,16697,32432,0.514831031080414,0.485168968919586,9.26695855944746e-06,0
"6",5,9e-05,7.6e-05,2013,"Wales",16252,16958,33210,0.510629328515507,0.489370671484493,8.31488105992171e-05,3
"7",6,3.6e-05,5.7e-05,2013,"Wales",15728,16375,32103,0.510076939849858,0.489923060150142,4.6288384263153e-05,1
"8",7,0.000147,1.9e-05,2013,"Wales",15385,16275,31660,0.514055590650663,0.485944409349337,8.47991156032849e-05,3
"9",8,0.000151,8e-05,2013,"Wales",14807,15667,30474,0.514110389184223,0.485889610815777,0.00011650183763208,4
"10",9,9.6e-05,2e-05,2013,"Wales",14538,15230,29768,0.511623219564633,0.488376780435367,5.88833646869121e-05,2
"11",10,3.9e-05,8.3e-05,2013,"Wales",14132,14990,29122,0.514731131103633,0.485268868896367,6.03518302314401e-05,2
"12",11,8e-05,0.000105,2013,"Wales",14194,15112,29306,0.515662321708865,0.484337678291135,9.21084419572784e-05,3
"13",12,7.9e-05,4.2e-05,2013,"Wales",14693,15882,30575,0.519443990188062,0.480556009811938,6.12194276369583e-05,2
"14",13,0.000156,8.2e-05,2013,"Wales",15211,16140,31351,0.514816114318523,0.485183885681477,0.000120096392459571,4
"15",14,1.9e-05,0.00014,2013,"Wales",15783,16686,32469,0.51390557146817,0.48609442853183,7.78174258523515e-05,3
"16",15,0.000166,0.000154,2013,"Wales",16279,17015,33294,0.511053042590257,0.488946957409743,0.000160132636511083,5
"17",16,0.000178,0.000112,2013,"Wales",16813,17846,34659,0.514902334170057,0.485097665829943,0.000145983554055224,5
"18",17,0.000333,0.000148,2013,"Wales",16262,17634,33896,0.520238376209582,0.479761623790418,0.000244244099598773,8
"19",18,0.00048,9.1e-05,2013,"Wales",16837,17818,34655,0.514153801760208,0.485846198239792,0.000291005828884721,10
"20",19,0.000433,0.00029,2013,"Wales",19038,20401,39439,0.517279849894774,0.482720150105226,0.000363971018534953,14
"21",20,0.000396,0.000161,2013,"Wales",19966,20874,40840,0.511116552399608,0.488883447600392,0.000281112389813908,11
"22",21,0.000546,0.000268,2013,"Wales",20563,20687,41250,0.50150303030303,0.49849696969697,0.000407417842424242,17
"23",22,0.000604,0.000209,2013,"Wales",19898,21394,41292,0.518114889082631,0.481885110917369,0.000413655381187639,17
"24",23,0.000491,0.000228,2013,"Wales",18910,20102,39012,0.515277350558802,0.484722649441198,0.000363517943196965,14
"25",24,0.000505,0.000169,2013,"Wales",18376,19359,37735,0.513025043063469,0.486974956936531,0.000341376414469326,13
"26",25,0.000813,0.000278,2013,"Wales",17702,18691,36393,0.51358777786937,0.48641222213063,0.000552769461160113,20
"27",26,0.000963,0.000298,2013,"Wales",17151,17550,34701,0.50574911385839,0.49425088614161,0.00063432316071583,22
"28",27,0.000817,0.000248,2013,"Wales",16709,17533,34242,0.512032007476199,0.487967992523801,0.000539346212253957,18
"29",28,0.000664,0.000429,2013,"Wales",16838,17196,34034,0.505259446435917,0.494740553564083,0.000547735969912441,19
"30",29,0.001006,0.000436,2013,"Wales",16318,16569,32887,0.503816097546143,0.496183902453857,0.000723175175601301,24
"31",30,0.000924,0.000419,2013,"Wales",16518,16606,33124,0.501328341987683,0.498671658012317,0.00067217081270378,22
"32",31,0.00088,0.000514,2013,"Wales",16512,16368,32880,0.497810218978102,0.502189781021898,0.000696198540145985,23
"33",32,0.001005,0.000491,2013,"Wales",16779,16754,33533,0.499627232875078,0.500372767124922,0.00074780839769779,25
"34",33,0.001104,0.00054,2013,"Wales",16932,16882,33814,0.499260661264565,0.500739338735435,0.000821583012953215,28
"35",34,0.001491,0.000637,2013,"Wales",15892,16019,31911,0.501989909435618,0.498010090564382,0.00106569938265802,34
"36",35,0.001073,0.000662,2013,"Wales",14996,14539,29535,0.492263416285763,0.507736583714237,0.000864320264093448,26
"37",36,0.001199,0.00079,2013,"Wales",14828,14889,29717,0.501026348554699,0.498973651445301,0.000994919776558872,30
"38",37,0.001433,0.000583,2013,"Wales",15187,14895,30082,0.49514659929526,0.50485340070474,0.00100387460940097,30
"39",38,0.001544,0.000773,2013,"Wales",15684,15515,31199,0.497291579858329,0.502708420141671,0.00115641180807077,36
"40",39,0.001904,0.000862,2013,"Wales",16343,15897,32240,0.493083126550869,0.506916873449131,0.00137579261786601,44
"41",40,0.001754,0.000878,2013,"Wales",17506,16758,34264,0.489084753677329,0.510915246322671,0.00130643824422134,45
"42",41,0.002134,0.001056,2013,"Wales",18460,18128,36588,0.495462993331147,0.504537006668853,0.00159010910681098,58
"43",42,0.001966,0.001122,2013,"Wales",19649,18825,38474,0.489291469563861,0.510708530436139,0.0015349620003119,59
"44",43,0.001781,0.001294,2013,"Wales",19149,18365,37514,0.489550567788026,0.510449432211974,0.00153241112651277,57
"45",44,0.00258,0.001326,2013,"Wales",20147,19394,39541,0.490478237778508,0.509521762221492,0.00194105971017425,77
"46",45,0.002334,0.001496,2013,"Wales",19799,19026,38825,0.490045074050225,0.509954925949775,0.00190665777205409,74
"47",46,0.002914,0.001676,2013,"Wales",20446,19621,40067,0.489704744552874,0.510295255447126,0.00228225447375646,91
"48",47,0.002781,0.001521,2013,"Wales",20403,19678,40081,0.490955814475687,0.509044185524313,0.00213960432623937,86
"49",48,0.003391,0.001765,2013,"Wales",21006,20130,41136,0.489352392065344,0.510647607934656,0.00256068698949825,105
"50",49,0.003134,0.001937,2013,"Wales",21060,20177,41237,0.489293595557388,0.510706404442612,0.00252268443388219,104
"51",50,0.003527,0.00264,2013,"Wales",20393,19827,40220,0.492963699651914,0.507036300348086,0.00307725880159125,124
"52",51,0.00349,0.002602,2013,"Wales",20100,19660,39760,0.494466800804829,0.505533199195171,0.00304108651911469,121
"53",52,0.003898,0.003145,2013,"Wales",19820,19010,38830,0.489569920164821,0.510430079835179,0.00351364614988411,136
"54",53,0.00456,0.003043,2013,"Wales",19054,18512,37566,0.492786029920673,0.507213970079327,0.00379055640738966,142
"55",54,0.004497,0.003389,2013,"Wales",18815,18189,37004,0.49154145497784,0.50845854502216,0.00393362793211545,146
"56",55,0.0053,0.003872,2013,"Wales",18551,17823,36374,0.489992852037169,0.510007147962831,0.00457170979270908,166
"57",56,0.00582,0.00451,2013,"Wales",18151,17472,35623,0.490469640400865,0.509530359599135,0.00515251522892513,184
"58",57,0.006378,0.004605,2013,"Wales",17550,16735,34285,0.488114335715327,0.511885664284673,0.00547042671722328,188
"59",58,0.006893,0.004866,2013,"Wales",16976,16443,33419,0.492025494479188,0.507974505520811,0.00586333567730931,196
"60",59,0.007721,0.005581,2013,"Wales",17800,16972,34772,0.488093868629932,0.511906131370068,0.00662552087886806,230
"61",60,0.008728,0.005616,2013,"Wales",17768,16904,34672,0.487540378403323,0.512459621596677,0.00713322565759114,247
"62",61,0.009479,0.006281,2013,"Wales",17203,16631,33834,0.491546964591831,0.508453035408169,0.00785296719276467,266
