"","year","age","region","female","male","all"
"1",2013,0,"England",331752,349921,681673
"2",2013,1,"England",344583,361876,706459
"3",2013,2,"England",338426,355605,694031
"4",2013,3,"England",333750,349649,683399
"5",2013,4,"England",329688,345052,674740
"6",2013,5,"England",332375,349098,681473
"7",2013,6,"England",321564,338070,659634
"8",2013,7,"England",315641,330544,646185
"9",2013,8,"England",302377,316503,618880
"10",2013,9,"England",296919,310969,607888
"11",2013,10,"England",287540,302475,590015
"12",2013,11,"England",282630,296580,579210
"13",2013,12,"England",290841,303248,594089
"14",2013,13,"England",297421,312349,609770
"15",2013,14,"England",306588,321938,628526
"16",2013,15,"England",310103,325992,636095
"17",2013,16,"England",318586,334775,653361
"18",2013,17,"England",317050,337741,654791
"19",2013,18,"England",319259,336378,655637
"20",2013,19,"England",331869,349099,680968
"21",2013,20,"England",338082,351437,689519
"22",2013,21,"England",354547,362841,717388
"23",2013,22,"England",364592,378975,743567
"24",2013,23,"England",362992,377548,740540
"25",2013,24,"England",365896,370823,736719
"26",2013,25,"England",373884,374187,748071
"27",2013,26,"England",370059,364124,734183
"28",2013,27,"England",371289,373115,744404
"29",2013,28,"England",373482,375385,748867
"30",2013,29,"England",368415,366324,734739
"31",2013,30,"England",373334,368866,742200
"32",2013,31,"England",374203,368482,742685
"33",2013,32,"England",376983,372638,749621
"34",2013,33,"England",377483,373841,751324
"35",2013,34,"England",361094,360265,721359
"36",2013,35,"England",335969,336763,672732
"37",2013,36,"England",330785,331577,662362
"38",2013,37,"England",337756,335550,673306
"39",2013,38,"England",344716,342380,687096
"40",2013,39,"England",351471,347354,698825
"41",2013,40,"England",366285,362997,729282
"42",2013,41,"England",381705,377498,759203
"43",2013,42,"England",396713,386931,783644
"44",2013,43,"England",386618,378030,764648
"45",2013,44,"England",396245,386402,782647
"46",2013,45,"England",395698,386341,782039
"47",2013,46,"England",399908,393383,793291
"48",2013,47,"England",402292,391487,793779
"49",2013,48,"England",404019,393399,797418
"50",2013,49,"England",399854,390154,790008
"51",2013,50,"England",391111,382554,773665
"52",2013,51,"England",381611,375030,756641
"53",2013,52,"England",367892,362264,730156
"54",2013,53,"England",353403,347607,701010
"55",2013,54,"England",345395,339971,685366
"56",2013,55,"England",337739,332311,670050
"57",2013,56,"England",325776,319271,645047
"58",2013,57,"England",314261,308450,622711
"59",2013,58,"England",303973,296206,600179
"60",2013,59,"England",305876,296154,602030
"61",2013,60,"England",301715,293049,594764
"62",2013,61,"England",294858,283672,578530
"63",2013,62,"England",297346,285467,582813
"64",2013,63,"England",305099,290447,595546
"65",2013,64,"England",312434,298809,611243
"66",2013,65,"England",330928,314965,645893
"67",2013,66,"England",358843,342788,701631
"68",2013,67,"England",278279,263607,541886
"69",2013,68,"England",271080,254973,526053
"70",2013,69,"England",270273,253733,524006
"71",2013,70,"England",252968,234145,487113
"72",2013,71,"England",227555,207266,434821
"73",2013,72,"England",206190,184774,390964
"74",2013,73,"England",214858,191661,406519
"75",2013,74,"England",214268,189075,403343
"76",2013,75,"England",208448,183024,391472
"77",2013,76,"England",199405,171686,371091
"78",2013,77,"England",190930,161179,352109
"79",2013,78,"England",182448,151172,333620
"80",2013,79,"England",170459,137669,308128
"81",2013,80,"England",163761,128345,292106
"82",2013,81,"England",160537,122285,282822
"83",2013,82,"England",154536,112517,267053
"84",2013,83,"England",145628,101190,246818
"85",2013,84,"England",132125,88570,220695
"86",2013,85,"England",119789,76850,196639
"87",2013,86,"England",109583,68275,177858
"88",2013,87,"England",100235,58806,159041
"89",2013,88,"England",89589,49185,138774
"90",2013,89,"England",79604,40673,120277
"91",2013,90,"England",61020,27470,88490
"92",2014,0,"England",326253,342966,669219
"93",2014,1,"England",334898,353041,687939
"94",2014,2,"England",347589,364731,712320
"95",2014,3,"England",341103,358324,699427
"96",2014,4,"England",336120,352174,688294
"97",2014,5,"England",331891,347406,679297
"98",2014,6,"England",334200,350899,685099
"99",2014,7,"England",323263,339888,663151
"100",2014,8,"England",317211,332230,649441
"101",2014,9,"England",303896,318107,622003
"102",2014,10,"England",298511,312461,610972
"103",2014,11,"England",289217,304067,593284
"104",2014,12,"England",284478,298296,582774
"105",2014,13,"England",292602,305044,597646
"106",2014,14,"England",299055,314402,613457
"107",2014,15,"England",308313,324132,632445
"108",2014,16,"England",312060,328162,640222
"109",2014,17,"England",320882,337921,658803
"110",2014,18,"England",319997,341101,661098
"111",2014,19,"England",323675,340717,664392
"112",2014,20,"England",337826,355179,693005
"113",2014,21,"England",343066,357969,701035
"114",2014,22,"England",361374,369270,730644
"115",2014,23,"England",371114,385292,756406
"116",2014,24,"England",367467,381908,749375
"117",2014,25,"England",369572,375072,744644
"118",2014,26,"England",377185,378015,755200
"119",2014,27,"England",373106,367009,740115
"120",2014,28,"England",373690,375689,749379
"121",2014,29,"England",375971,377974,753945
"122",2014,30,"England",370169,367983,738152
"123",2014,31,"England",374387,370720,745107
"124",2014,32,"England",375190,369757,744947
"125",2014,33,"England",377820,373575,751395
"126",2014,34,"England",378252,374807,753059
"127",2014,35,"England",361924,360416,722340
"128",2014,36,"England",336832,336862,673694
"129",2014,37,"England",331621,331547,663168
"130",2014,38,"England",338481,335847,674328
"131",2014,39,"England",345275,342240,687515
"132",2014,40,"England",352084,347176,699260
"133",2014,41,"England",366474,362809,729283
"134",2014,42,"England",382051,377388,759439
"135",2014,43,"England",396709,386893,783602
"136",2014,44,"England",386599,378098,764697
"137",2014,45,"England",396316,386391,782707
"138",2014,46,"England",395821,386206,782027
"139",2014,47,"England",399995,393244,793239
"140",2014,48,"England",402412,391115,793527
"141",2014,49,"England",404237,393155,797392
"142",2014,50,"England",399840,389773,789613
"143",2014,51,"England",390971,381849,772820
"144",2014,52,"England",381309,374470,755779
"145",2014,53,"England",367539,361627,729166
"146",2014,54,"England",352850,346840,699690
"147",2014,55,"England",344774,338862,683636
"148",2014,56,"England",337147,331122,668269
"149",2014,57,"England",325143,317949,643092
"150",2014,58,"England",313508,306817,620325
"151",2014,59,"England",303221,294506,597727
"152",2014,60,"England",304915,294103,599018
"153",2014,61,"England",300683,291053,591736
"154",2014,62,"England",293888,281369,575257
"155",2014,63,"England",296187,283359,579546
"156",2014,64,"England",303835,287790,591625
"157",2014,65,"England",310631,295696,606327
"158",2014,66,"England",328722,311642,640364
"159",2014,67,"England",356283,338769,695052
"160",2014,68,"England",275996,259954,535950
"161",2014,69,"England",268602,250989,519591
"162",2014,70,"England",267344,249351,516695
"163",2014,71,"England",250098,229588,479686
"164",2014,72,"England",224421,202598,427019
"165",2014,73,"England",203041,180421,383462
"166",2014,74,"England",211155,186842,397997
"167",2014,75,"England",210156,183810,393966
"168",2014,76,"England",204100,177403,381503
"169",2014,77,"England",194662,165734,360396
"170",2014,78,"England",185978,154867,340845
"171",2014,79,"England",177040,144600,321640
"172",2014,80,"England",164679,130862,295541
"173",2014,81,"England",157355,121217,278572
"174",2014,82,"England",153345,114611,267956
"175",2014,83,"England",146607,104607,251214
"176",2014,84,"England",137311,93229,230540
"177",2014,85,"England",123468,80760,204228
"178",2014,86,"England",110922,69417,180339
"179",2014,87,"England",100267,60801,161068
"180",2014,88,"England",90744,51515,142259
"181",2014,89,"England",80024,42450,122474
"182",2014,90,"England",60310,27910,88220
"183",2015,0,"England",325291,342748,668039
"184",2015,1,"England",329535,346565,676100
"185",2015,2,"England",338076,356089,694165
"186",2015,3,"England",350410,367540,717950
"187",2015,4,"England",343699,360831,704530
"188",2015,5,"England",338489,354480,692969
"189",2015,6,"England",333747,349339,683086
"190",2015,7,"England",336004,352858,688862
"191",2015,8,"England",324837,341775,666612
"192",2015,9,"England",318740,333978,652718
"193",2015,10,"England",305428,319944,625372
"194",2015,11,"England",300318,314514,614832
"195",2015,12,"England",291081,305970,597051
"196",2015,13,"England",286308,300250,586558
"197",2015,14,"England",294349,307262,601611
"198",2015,15,"England",300900,316961,617861
"199",2015,16,"England",310156,326772,636928
"200",2015,17,"England",314737,331730,646467
"201",2015,18,"England",324429,342014,666443
"202",2015,19,"England",325065,346159,671224
